# Rime user dictionary
#@/db_name	luna_pinyin.userdb
#@/db_type	userdb
#@/rime_version	1.5.3
#@/tick	41606
#@/user_id	fred-mbp
a 	啊	c=754 d=2.64207 t=41606
ba wo 	把握	c=1 d=7.61076e-83 t=41606
ba wo zhu 	把握住	c=2 d=4.77756e-51 t=41606
ba xiao shi 	八小時	c=1 d=0.0051953 t=41606
ba zhan 	霸佔	c=1 d=0.00179994 t=41606
ba zhi dao 	八知道	c=2 d=1.32439e-08 t=41606
bai 	白	c=3 d=0.166127 t=41606
bai 	百	c=0 d=1.22749e-30 t=41606
bai bai 	拜拜	c=10 d=1.37638e-23 t=41606
bai bai 	白白	c=1 d=1.51453e-60 t=41606
bai de 	白的	c=1 d=7.96564e-31 t=41606
bai du 	百度	c=4 d=7.33232e-17 t=41606
bai du chuan 	擺渡船	c=1 d=2.49967e-43 t=41606
bai du wang pan 	百度網盤	c=2 d=3.0042e-16 t=41606
bai fen bi 	百分比	c=1 d=1.53507e-42 t=41606
bai jin 	白金	c=2 d=4.11993e-73 t=41606
bai li 	百里	c=1 d=1.86978e-39 t=41606
bai li tou hong 	白裏透紅	c=1 d=3.59163e-13 t=41606
bai lu 	白鷺	c=2 d=0.423448 t=41606
bai luo bo 	白蘿蔔	c=1 d=6.95971e-31 t=41606
bai piao 	白嫖	c=4 d=0.044601 t=41606
bai qiao ke li 	白巧克力	c=1 d=4.4855e-10 t=41606
bai se 	白色	c=1 d=2.29324e-29 t=41606
bai tian 	白天	c=1 d=0.16696 t=41606
bai wan 	百萬	c=1 d=1.95245e-48 t=41606
bai wan ren 	百萬人	c=1 d=3.94663e-63 t=41606
bai yin 	白銀	c=1 d=3.5312e-78 t=41606
bai zhao 	百兆	c=2 d=3.78208e-13 t=41606
ban 	半	c=1 d=1.56368e-25 t=41606
ban 	搬	c=1 d=0.00222055 t=41606
ban 	板	c=4 d=0.548812 t=41606
ban 	版	c=12 d=0.140985 t=41606
ban 	辦	c=5 d=2.48116e-11 t=41606
ban an 	辦案	c=1 d=4.9364e-78 t=41606
ban ben 	版本	c=18 d=1.11914 t=41606
ban ben kong zhi 	版本控制	c=1 d=1.19983e-55 t=41606
ban dao 	班導	c=1 d=1.3357e-23 t=41606
ban de 	般的	c=0 d=1.52104e-82 t=41606
ban fa 	辦法	c=30 d=2.15566e-07 t=41606
ban ga 	板噶	c=1 d=4.45753e-54 t=41606
ban ge xiao shi 	半個小時	c=1 d=1.2142e-48 t=41606
ban gong 	辦公	c=3 d=0.0393602 t=41606
ban gong ruan jian 	辦公軟件	c=1 d=6.03467e-59 t=41606
ban jia 	半價	c=2 d=1.32062e-09 t=41606
ban jia you hui 	半價優惠	c=1 d=4.93252e-10 t=41606
ban kuai 	板塊	c=1 d=1.03183e-45 t=41606
ban nian 	半年	c=1 d=5.88085e-20 t=41606
ban quan suo you 	版權所有	c=1 d=1.41334e-70 t=41606
ban qun 	班群	c=2 d=1.77798e-35 t=41606
ban shang 	班上	c=8 d=4.27038e-21 t=41606
ban shang ting 	班上聽	c=1 d=4.29178e-20 t=41606
ban tang zai 	半躺在	c=1 d=1.57152e-24 t=41606
ban tang zai 	辦躺在	c=1 d=1.56368e-24 t=41606
ban tian 	半天	c=3 d=1.04276e-22 t=41606
ban yi ge 	辦一個	c=3 d=6.41588e-15 t=41606
ban zhuan 	板磚	c=0 d=6.0244e-40 t=41606
ban zi 	板子	c=1 d=0.00790705 t=41606
ban zi 	班子	c=1 d=0.00786762 t=41606
bang 	幫	c=5 d=4.57456e-06 t=41606
bang 	棒	c=6 d=0.918512 t=41606
bang bu dao ni 	幫不到你	c=1 d=3.09493e-56 t=41606
bang dao mang 	幫倒忙	c=1 d=6.32554e-54 t=41606
bang ding 	綁定	c=3 d=6.33349e-10 t=41606
bang jia 	綁架	c=1 d=0.00744658 t=41606
bang mang 	幫忙	c=1 d=0.00477195 t=41606
bang ni 	幫你	c=22 d=0.0910207 t=41606
bang ni shou 	幫你收	c=1 d=2.78834e-64 t=41606
bang ta 	幫他	c=1 d=9.21831e-14 t=41606
bang wo 	幫我	c=9 d=5.63472e-17 t=41606
bang wo mai 	幫我買	c=1 d=6.3279e-29 t=41606
bang wo men 	幫我們	c=3 d=5.14974e-17 t=41606
bang zai 	綁在	c=1 d=1.67273e-23 t=41606
bang zhe 	幫着	c=2 d=4.92265e-37 t=41606
bang zhu 	幫助	c=4 d=1.2488e-55 t=41606
bao 	包	c=3 d=0.00614231 t=41606
bao 	抱	c=1 d=1.95172e-73 t=41606
bao 	飽	c=2 d=1.15482e-75 t=41606
bao bao 	寶寶	c=4 d=0.00900478 t=41606
bao bei 	報備	c=1 d=1.94403e-56 t=41606
bao bei 	寶貝	c=15 d=0.349512 t=41606
bao bei nv er 	寶貝女兒	c=1 d=4.02922e-42 t=41606
bao chi 	保持	c=1 d=3.38121e-38 t=41606
bao cuo 	報錯	c=1 d=0.0934807 t=41606
bao dian 	寶典	c=2 d=0.0694714 t=41606
bao die 	暴跌	c=1 d=3.62934e-77 t=41606
bao fa 	爆發	c=1 d=2.60612e-63 t=41606
bao gao 	報告	c=16 d=0.013268 t=41606
bao gu 	保固	c=1 d=2.01163e-17 t=41606
bao gu 	包穀	c=1 d=2.0016e-17 t=41606
bao gui 	寶貴	c=1 d=1.52715e-40 t=41606
bao han 	包含	c=7 d=0.600496 t=41606
bao he 	飽和	c=0 d=3.26502e-10 t=41606
bao he le 	飽和了	c=1 d=3.28139e-09 t=41606
bao hu 	保護	c=5 d=0.351367 t=41606
bao liu 	保留	c=3 d=1.84614e-07 t=41606
bao luo wan xiang 	包羅萬象	c=1 d=1.97819e-55 t=41606
bao ming 	報名	c=1 d=1.48348e-81 t=41606
bao ren 	抱人	c=1 d=1.92266e-73 t=41606
bao xian 	保險	c=1 d=8.45993e-05 t=41606
bao xian ba 	保險吧	c=1 d=0.000850233 t=41606
bao yang 	保養	c=0 d=1.40753e-52 t=41606
bao yang ba 	保養吧	c=1 d=1.41459e-51 t=41606
bao you 	保有	c=1 d=1.86172e-47 t=41606
bao zha 	爆炸	c=3 d=0.0212797 t=41606
bao zhe 	抱着	c=2 d=0.00324708 t=41606
bao zhe wo de tui 	抱着我的腿	c=1 d=8.03697e-77 t=41606
bao zhen 	抱枕	c=1 d=1.9615e-73 t=41606
bao zheng 	保證	c=4 d=1.13176e-15 t=41606
bei 	唄	c=13 d=3.9536e-25 t=41606
bei 	背	c=1 d=1.86755e-25 t=41606
bei 	被	c=38 d=0.995134 t=41606
bei 	貝	c=1 d=4.35502e-45 t=41606
bei bu 	北部	c=1 d=4.75042e-38 t=41606
bei cheng wei 	被稱爲	c=0 d=0.0416862 t=41606
bei dong 	被動	c=2 d=3.83088e-07 t=41606
bei fen 	備份	c=16 d=0.210045 t=41606
bei fen de 	備份的	c=1 d=0.45612 t=41606
bei feng 	被封	c=1 d=1.72133e-07 t=41606
bei gai 	背蓋	c=1 d=1.1648e-30 t=41606
bei gan ran 	被感染	c=1 d=3.37995e-63 t=41606
bei hou 	背後	c=2 d=2.81454e-27 t=41606
bei jing 	背景	c=0 d=1.70618e-51 t=41606
bei jing tu 	背景圖	c=2 d=1.74764e-09 t=41606
bei keng 	被坑	c=1 d=3.90204e-47 t=41606
bei lun 	悖論	c=0 d=4.17643e-24 t=41606
bei lv 	倍率	c=2 d=4.81238e-14 t=41606
bei ni 	被你	c=3 d=2.41411e-45 t=41606
bei po 	被迫	c=2 d=2.29012e-13 t=41606
bei po ying ye 	被迫營業	c=1 d=7.41677e-44 t=41606
bei qiang 	被牆	c=1 d=5.89187e-42 t=41606
bei ren 	被人	c=1 d=1.00861e-42 t=41606
bei ta 	被他	c=0 d=6.40326e-81 t=41606
bei ta chi le 	被他吃了	c=1 d=6.43536e-80 t=41606
bei tou 	被偷	c=1 d=1.04333e-12 t=41606
bei tou le 	被偷了	c=1 d=1.01108e-12 t=41606
bei wang lu 	備忘錄	c=1 d=3.79406e-11 t=41606
bei wei 	卑微	c=1 d=4.49759e-71 t=41606
bei wo 	被我	c=6 d=0.891366 t=41606
bei wo mei 	被我妹	c=1 d=1.24841e-22 t=41606
bei yi xia 	背一下	c=1 d=5.8585e-34 t=41606
bei zi 	被子	c=1 d=1.98122e-73 t=41606
ben 	本	c=6 d=0.97531 t=41606
ben ben 	本本	c=2 d=3.00202e-21 t=41606
ben bi 	笨比	c=1 d=0.00379148 t=41606
ben ci 	本次	c=3 d=2.46323e-43 t=41606
ben dan 	笨蛋	c=1 d=1.48509e-35 t=41606
ben de 	笨的	c=1 d=0.0939493 t=41606
ben lai 	本來	c=18 d=0.111917 t=41606
ben ming 	本名	c=1 d=4.63077e-32 t=41606
ben qi 	本期	c=1 d=2.50708e-19 t=41606
ben ren 	本人	c=1 d=7.86602e-30 t=41606
ben shen 	本身	c=2 d=6.54326e-11 t=41606
ben teng 	奔騰	c=1 d=2.81894e-16 t=41606
ben xian 	奔現	c=2 d=3.11567e-47 t=41606
ben yue 	奔月	c=1 d=9.67548e-54 t=41606
ben zhi 	本質	c=1 d=7.1124e-51 t=41606
ben zi 	本子	c=2 d=7.07693e-51 t=41606
beng kui 	崩潰	c=7 d=3.54852e-18 t=41606
beng le 	崩了	c=1 d=7.17998e-74 t=41606
bi 	幣	c=0 d=4.89994e-80 t=41606
bi 	比	c=29 d=0.0254765 t=41606
bi 	筆	c=1 d=1.9069e-35 t=41606
bi 	逼	c=1 d=1.50544e-48 t=41606
bi bei 	必備	c=1 d=0.0239309 t=41606
bi bu qi 	比不起	c=1 d=1.66377e-48 t=41606
bi bu shang 	比不上	c=1 d=2.30945e-53 t=41606
bi ci 	彼此	c=1 d=1.01505e-58 t=41606
bi dai 	必帶	c=1 d=0.557106 t=41606
bi dao 	比到	c=1 d=2.57711e-49 t=41606
bi dao 	逼到	c=1 d=2.56426e-49 t=41606
bi dian 	筆電	c=2 d=4.05024e-15 t=41606
bi ding 	必定	c=1 d=0.0333733 t=41606
bi dui 	比對	c=1 d=1.15122e-39 t=41606
bi fang 	比方	c=0 d=1.69859e-28 t=41606
bi guo 	比過	c=1 d=2.47488e-14 t=41606
bi ji 	筆記	c=5 d=2.18216e-29 t=41606
bi ji ben 	筆記本	c=4 d=0.882497 t=41606
bi jiao 	比較	c=102 d=0.744303 t=41606
bi jiao duo 	比較多	c=1 d=1.15522e-21 t=41606
bi jiao duo er 	比較多爾	c=1 d=4.23653e-44 t=41606
bi jiao hao 	比較好	c=10 d=3.02807e-05 t=41606
bi jiao jia 	比較佳	c=1 d=3.82087e-35 t=41606
bi jiao kuai 	比較快	c=1 d=5.79194e-76 t=41606
bi jiao liu 	比較六	c=1 d=0.00444934 t=41606
bi jiao liu chang 	比較流暢	c=2 d=0.147342 t=41606
bi jiao mang 	比較忙	c=1 d=8.80911e-68 t=41606
bi jiao qiang 	比較強	c=1 d=3.00704e-70 t=41606
bi jiao zhong 	比較重	c=1 d=1.834e-47 t=41606
bi jing 	畢竟	c=166 d=1.71101 t=41606
bi jing da bu fen 	畢竟大部分	c=1 d=1.78258e-36 t=41606
bi jing le 	畢竟了	c=2 d=4.18297e-12 t=41606
bi jiu 	必究	c=1 d=1.42755e-70 t=41606
bi kai 	避開	c=2 d=3.85402e-19 t=41606
bi li 	比例	c=1 d=2.07029e-61 t=41606
bi li 	比利	c=1 d=0.511709 t=41606
bi mian 	避免	c=9 d=0.00456197 t=41606
bi mu yang shen 	閉目養神	c=0 d=2.73732e-83 t=41606
bi qi 	比起	c=7 d=0.18833 t=41606
bi ran 	必然	c=2 d=1.18506e-27 t=41606
bi ru 	比如	c=1 d=1.82615e-26 t=41606
bi sai 	比賽	c=35 d=0.0554389 t=41606
bi san kuan 	比三款	c=1 d=6.75495e-62 t=41606
bi sheng 	畢生	c=0 d=1.40128e-29 t=41606
bi sheng suo xue 	畢生所學	c=1 d=1.4083e-28 t=41606
bi shi jia 	比市價	c=1 d=4.91194e-49 t=41606
bi ta 	比他	c=1 d=1.84388e-22 t=41606
bi te 	比特	c=0 d=4.89994e-80 t=41606
bi te bi 	比特幣	c=1 d=5.43197e-79 t=41606
bi wan le 	比完了	c=1 d=9.28217e-07 t=41606
bi wo 	比我	c=1 d=7.86443e-57 t=41606
bi xin 	筆芯	c=1 d=1.20089e-36 t=41606
bi xu 	必須	c=5 d=0.0228227 t=41606
bi yan 	閉眼	c=1 d=1.65316e-61 t=41606
bi yao 	必要	c=4 d=1.59804e-15 t=41606
bi yao xing 	必要性	c=1 d=5.34954e-53 t=41606
bi ye 	畢業	c=1 d=3.02324e-45 t=41606
bi zhi 	壁紙	c=10 d=9.33402e-10 t=41606
bi zhi de 	壁紙的	c=1 d=9.37706e-09 t=41606
bi zhuang 	必裝	c=1 d=0.0401553 t=41606
bi zui 	閉嘴	c=2 d=7.43645e-38 t=41606
bian 	便	c=20 d=0.000108086 t=41606
bian 	變	c=3 d=0.000258659 t=41606
bian 	邊	c=1 d=3.05935e-67 t=41606
bian ben 	變本	c=1 d=6.55441e-31 t=41606
bian ben 	變笨	c=1 d=6.58726e-31 t=41606
bian cheng 	編程	c=4 d=1.85218e-16 t=41606
bian cheng 	變成	c=6 d=0.0139818 t=41606
bian da 	變大	c=1 d=1.28259e-75 t=41606
bian dang 	便當	c=2 d=1.78598e-80 t=41606
bian de 	變得	c=3 d=1.7903e-28 t=41606
bian hua 	變化	c=2 d=5.63088e-09 t=41606
bian hui 	便會	c=4 d=1.32666e-16 t=41606
bian hui bei 	便會被	c=1 d=7.82229e-82 t=41606
bian hui zai 	便會在	c=1 d=4.61317e-46 t=41606
bian ji 	編輯	c=1 d=4.95878e-44 t=41606
bian ji qi 	編輯器	c=6 d=0.45159 t=41606
bian ji tong yi fen 	編輯同一份	c=1 d=4.98363e-43 t=41606
bian kai shi 	便開始	c=1 d=1.63928e-50 t=41606
bian kuai 	便塊	c=1 d=1.05081e-83 t=41606
bian kuai 	變快	c=1 d=1.05608e-83 t=41606
bian li 	便利	c=1 d=7.10998e-47 t=41606
bian ma 	編碼	c=3 d=0.0238732 t=41606
bian neng 	便能	c=1 d=2.88324e-46 t=41606
bian qiang 	變強	c=1 d=1.05813e-47 t=41606
bian shi 	便是	c=9 d=4.30889e-08 t=41606
bian shi 	辨識	c=6 d=4.33049e-08 t=41606
bian shi dao 	辨識到	c=1 d=4.21625e-17 t=41606
bian shu 	變數	c=1 d=3.22004e-81 t=41606
bian tai 	變態	c=3 d=1.38615e-18 t=41606
bian tao ti 	扁桃體	c=1 d=1.58866e-34 t=41606
bian xiao 	變小	c=1 d=2.89021e-45 t=41606
bian xie 	便攜	c=0 d=5.90009e-30 t=41606
bian xie 	編寫	c=4 d=2.80494e-16 t=41606
bian xie ping mu 	便攜屏幕	c=1 d=5.92966e-29 t=41606
bian xie xing 	便攜性	c=1 d=4.36406e-40 t=41606
bian yao 	便要	c=1 d=4.90709e-08 t=41606
bian yi 	編譯	c=3 d=0.0254448 t=41606
bian yuan 	邊緣	c=1 d=0.214381 t=41606
bian yuan ren 	邊緣人	c=2 d=1.67775e-80 t=41606
bian zai 	便在	c=1 d=1.86685e-50 t=41606
biao 	標	c=0 d=1.02157e-46 t=41606
biao 	表	c=0 d=5.8002e-35 t=41606
biao chan ke 	標產科	c=1 d=1.02668e-45 t=41606
biao chu lai 	標出來	c=1 d=0.0208584 t=41606
biao dan 	表單	c=9 d=2.69152e-60 t=41606
biao dian 	標點	c=1 d=1.45436e-83 t=41606
biao ge 	表哥	c=1 d=7.05963e-81 t=41606
biao ji 	標記	c=2 d=6.33105e-21 t=41606
biao ji chu 	標記處	c=1 d=2.46363e-78 t=41606
biao ji wei 	標記爲	c=1 d=7.49666e-23 t=41606
biao kai ti 	標楷體	c=2 d=1.16758e-50 t=41606
biao ming 	表明	c=2 d=0.638404 t=41606
biao qing 	表情	c=1 d=7.08559e-36 t=41606
biao shi 	表示	c=4 d=0.00121867 t=41606
biao ti 	標題	c=3 d=0.0193937 t=41606
biao xian 	表現	c=1 d=0.0668703 t=41606
biao zhi 	標誌	c=2 d=0.287873 t=41606
biao zhi wei 	標誌位	c=1 d=0.628135 t=41606
biao zhun 	標準	c=5 d=2.88039e-05 t=41606
bie 	別	c=14 d=0.170341 t=41606
bie de 	別的	c=7 d=0.0155297 t=41606
bie jiao 	別叫	c=0 d=2.54047e-58 t=41606
bie jiao wo 	別叫我	c=1 d=2.55321e-57 t=41606
bie mai 	別買	c=1 d=1.48843e-32 t=41606
bie ren 	別人	c=22 d=0.0294424 t=41606
bie ren ma 	別人嘛	c=1 d=1.47232e-51 t=41606
bie shua 	別刷	c=1 d=1.96798e-53 t=41606
bie shuo 	別說	c=1 d=7.5625e-67 t=41606
bie xiang 	別想	c=1 d=5.09573e-40 t=41606
bie xiang tai duo 	別想太多	c=1 d=4.79148e-51 t=41606
bie ya 	別呀	c=1 d=6.8975e-43 t=41606
bie yong 	別用	c=1 d=1.58888e-65 t=41606
bie zha yan 	別眨眼	c=1 d=7.79546e-71 t=41606
bing 	並	c=2 d=0.0480747 t=41606
bing 	冰	c=2 d=8.77441e-46 t=41606
bing bu 	並不	c=0 d=4.90638e-51 t=41606
bing bu shi 	並不是	c=1 d=2.63463e-44 t=41606
bing bu you hao 	並不友好	c=1 d=1.19036e-50 t=41606
